"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/28/2003","27","","Lancaster-Division Street","06-037-9033","AQS"
"01/29/2003","33","","Costa Mesa","06-059-1003","AQS"
"01/30/2003","40","","Santa Clarita","06-037-6012","AQS"
"01/31/2003","30","","Santa Clarita","06-037-6012","AQS"
"02/01/2003","43","","Mission Viejo","06-059-2022","AQS"
"02/02/2003","44","","Santa Clarita","06-037-6012","AQS"
"02/03/2003","43","","Santa Clarita","06-037-6012","AQS"
"02/04/2003","30","","Santa Clarita","06-037-6012","AQS"
"02/05/2003","43","","Santa Clarita","06-037-6012","AQS"
"02/06/2003","42","","Costa Mesa","06-059-1003","AQS"
"02/07/2003","37","","Santa Clarita","06-037-6012","AQS"
"02/08/2003","43","","Santa Clarita","06-037-6012","AQS"
"02/09/2003","44","","Santa Clarita","06-037-6012","AQS"
"02/10/2003","32","","Santa Clarita","06-037-6012","AQS"
"02/11/2003","37","","Santa Clarita","06-037-6012","AQS"
"02/12/2003","27","","Glendora","06-037-0016","AQS"
"02/13/2003","26","","Costa Mesa","06-059-1003","AQS"
"02/14/2003","37","","Costa Mesa","06-059-1003","AQS"
"02/15/2003","35","","Costa Mesa","06-059-1003","AQS"
"02/16/2003","41","","West Los Angeles","06-037-0113","AQS"
"02/17/2003","34","","Lancaster-Division Street","06-037-9033","AQS"
"02/18/2003","39","","Costa Mesa","06-059-1003","AQS"
"02/19/2003","44","","Santa Clarita","06-037-6012","AQS"
"02/20/2003","44","","Santa Clarita","06-037-6012","AQS"
"02/21/2003","41","","Costa Mesa","06-059-1003","AQS"
"02/22/2003","46","","Costa Mesa","06-059-1003","AQS"
"02/23/2003","46","","Costa Mesa","06-059-1003","AQS"
"02/24/2003","43","","Costa Mesa","06-059-1003","AQS"
"02/25/2003","38","","Glendora","06-037-0016","AQS"
"02/26/2003","44","","Costa Mesa","06-059-1003","AQS"
"02/27/2003","42","","Costa Mesa","06-059-1003","AQS"
"02/28/2003","42","","Santa Clarita","06-037-6012","AQS"
"03/01/2003","44","","Costa Mesa","06-059-1003","AQS"
"03/02/2003","48","","Costa Mesa","06-059-1003","AQS"
"03/03/2003","38","","Costa Mesa","06-059-1003","AQS"
"03/04/2003","37","","Costa Mesa","06-059-1003","AQS"
"03/05/2003","40","","Santa Clarita","06-037-6012","AQS"
"03/06/2003","44","","Mission Viejo","06-059-2022","AQS"
"03/07/2003","48","","Costa Mesa","06-059-1003","AQS"
"03/08/2003","64","","Santa Clarita","06-037-6012","AQS"
"03/09/2003","93","","Glendora","06-037-0016","AQS"
"03/10/2003","77","","Costa Mesa","06-059-1003","AQS"
"03/11/2003","136","","Mission Viejo","06-059-2022","AQS"
